"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.bettersleep.com/pt/blog/como-melhorar-a-síndrome-das-pernas-inquietas-e-dormir-1/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/quanto-você-precisa-dormir-de-fato/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/page/2/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-classical-and-instrumental-music-affect-mental-health/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/blog/cinco-dicas-simples-de-como-utilizar-a-consciência-para-diminuir-o-estresse-e-ansiedade/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/10-questions-with-a-creative-content-producer-aster-j.-haile/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/gratitude-month-10-ways-showing-thanks-can-help-you-feel-amazing/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-positive-thinking-can-improve-your-mental-health/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/a-full-moon-meditation-for-the-hunters-moon-of-october-20th/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/insomnia-in-seniors-how-to-tackle-an-age-old-challenge/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/pets-and-mental-health-how-furry-friends-can-lower-your-stress/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/mental-wellness-checks-what-they-are-and-why-you-need-one/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/whats-involved-in-a-sleep-study/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-fall-asleep-on-airplanes/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/sleep-meditation-for-the-whole-family/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/duvets-comforters-and-weighted-blankets-which-is-best-for-you/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/shoulder-pain-from-sleeping-heres-what-you-need-to-know/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/do-babies-dream/","text/html","200","OK","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-fall-back-asleep-fast/","text/html","200","OK","Non-Indexable","Canonicalised"
