"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/little-ones-and-naps/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/pt/relaxamento-e-meditacao/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/cdn-cgi/l/email-protection","0","0","0","0","","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/pt/partners/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/fr/partners/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/fr/techniquesderelaxation/","0","0","3","3","ImageObject","Organization","website","","","","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/breathing-techniques/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/tinnitus-meditation/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/relaxation-meditation/meditation-for-beginners/","0","0","1","1","article","","","","","","Indexable",""
"https://my.bettersleep.com/signin","0","0","1","1","website","","","","","","Non-Indexable","noindex"
"https://www.bettersleep.com/relaxation-meditation/lucid-dream-meditation/","0","0","1","1","article","","","","","","Indexable",""
"https://www.bettersleep.com/blog/what-is-the-best-music-to-listen-to-while-sleeping/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/how-to-stay-centered-and-reduce-stress-during-the-holidays/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/5-steps-to-create-the-perfect-meditation-space/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/self-care-routine-for-your-mental-health/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/what-is-white-noise-and-does-it-help-you-sleep/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/healing-meditation-for-trauma-with-yoga-nidra/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/blog/the-best-bathtime-rituals-to-help-you-relax/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/cómo-aliviar-el-síndrome-de-las-piernas-inquietas-y-dormir-mejor/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/cómo-crear-una-rutina-de-sueño-saludable/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/sueño/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/es/blog/cómo-la-covid-19-afecta-nuestro-descanso-y-qué-podemos-hacer-para-dormir-mejor/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/page/3/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/page/2/","0","0","3","3","ImageObject","Organization","website","","","","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/meditación/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/es/blog/sonido/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/es/blog/la-ansiedad-afecta-tu-sueño/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
"https://www.bettersleep.com/es/blog/la-ciencia-de-las-frecuencias-solfeggio/","0","2","6","6","BlogPosting","ImageObject","Organization","Person","WebPage","article","Non-Indexable","Canonicalised"
